customer_txn_count_60m,customer_amount_mean_prior,amount_deviation_ratio,is_new_device,is_new_merchant,location_shift,customer_device_degree,customer_merchant_degree,device_customer_degree,merchant_customer_degree,shared_device_customer_count,relationship_risk_score,is_fraud
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,False
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,False
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,2,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
0,0.0,0.0,True,True,False,1,1,1,1,0,0.0,True
